year,discount_rate_pct,sc_co2_cad2021,source
2054,1.5,639,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2054,2.0,413,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2054,2.5,277,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2055,1.5,646,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2055,2.0,417,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2055,2.5,281,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2056,1.5,652,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2056,2.0,422,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2056,2.5,284,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2057,1.5,657,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2057,2.0,427,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2057,2.5,288,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2058,1.5,664,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2058,2.0,432,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2058,2.5,292,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2059,1.5,669,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2059,2.0,436,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2059,2.5,295,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
2060,1.5,675,ECCC Social Cost of Greenhouse Gas Estimates interim guidance (Table 1 / A.1.1 / A.1.2). CAD 2021 per tCO2. https://www.canada.ca/en/environment-climate-change/services/climate-change/science-research-data/social-cost-ghg.html
